YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Date,Month
2015,1,25.23,29.25,22.06,7.19,0.0,68.26,1.73,2.61,100.86,13.36,Nigeria,2015-01-01,1
2015,2,26.16,29.41,22.87,6.54,0.0,73.23,1.42,1.95,100.94,15.37,Nigeria,2015-01-02,1
2015,3,25.66,29.02,22.63,6.39,0.0,78.71,1.69,2.33,101.06,15.98,Nigeria,2015-01-03,1
2015,4,24.1407,27.27,19.9221,7.35,0.0,63.66,2.15,3.8,101.09,11.9221,Nigeria,2015-01-04,1
2015,5,24.1407,27.28,19.9221,8.838599999999996,0.0,62.5833,1.88,3.48,101.03,11.9221,Nigeria,2015-01-05,1
2015,6,24.1407,26.03,19.9221,7.74,0.0,62.5833,1.37,2.1,101.0,11.9221,Nigeria,2015-01-06,1
2015,7,24.1407,26.36,20.21,6.15,0.0,62.5833,1.57,2.43,100.98,11.9221,Nigeria,2015-01-07,1
2015,8,24.1407,27.84,19.9221,8.06,0.0,62.5833,1.5,2.34,101.07,11.9221,Nigeria,2015-01-08,1
2015,9,24.1407,26.33,19.9221,6.99,0.0,67.38,2.02,2.74,101.1,11.9221,Nigeria,2015-01-09,1
2015,10,24.1407,26.03,19.9221,8.838599999999996,0.0,62.88,2.3,3.52,101.18,11.9221,Nigeria,2015-01-10,1
2015,11,24.1407,26.03,19.9221,8.838599999999996,0.0,62.5833,2.34,3.53,101.13,11.9221,Nigeria,2015-01-11,1
2015,12,24.1407,27.63,19.9221,8.838599999999996,0.0,62.5833,2.3,3.59,100.96,11.9221,Nigeria,2015-01-12,1
2015,13,24.1407,26.03,19.9221,8.838599999999996,0.0,62.5833,2.35,3.5,100.97,11.9221,Nigeria,2015-01-13,1
2015,14,24.1407,26.76,19.9221,8.838599999999996,0.0,62.5833,1.9,2.78,100.94,11.9221,Nigeria,2015-01-14,1
2015,15,24.1407,27.99,19.9221,8.838599999999996,0.0,67.59,1.66,2.58,100.98,11.9221,Nigeria,2015-01-15,1
2015,16,24.24,28.6,20.33,8.27,0.0295588022415444,80.72,1.25,2.03,100.98,14.96,Nigeria,2015-01-16,1
2015,17,25.03,29.31,21.53,7.78,0.019802627296179712,83.19,1.31,1.95,100.99,16.17,Nigeria,2015-01-17,1
2015,18,25.52,29.18,22.74,6.44,0.0295588022415444,87.2,1.88,2.16,101.01,17.56,Nigeria,2015-01-18,1
2015,19,25.94,29.32,23.38,5.94,0.19062035960864973,87.45,2.25,3.03,100.9,18.11,Nigeria,2015-01-19,1
2015,20,26.02,29.26,23.45,5.81,0.23111172096338664,86.82,2.11,2.64,100.77,18.09,Nigeria,2015-01-20,1
2015,21,26.53,29.69,23.95,5.74,0.048790164169432,85.06,2.01,2.28,100.86,18.27,Nigeria,2015-01-21,1
2015,22,27.04,30.64,24.32,6.32,0.048790164169432,83.51,2.07,3.03,100.89,18.42,Nigeria,2015-01-22,1
2015,23,26.96,29.97,24.66,5.31,0.048790164169432,86.65,2.15,2.93,100.78,19.12,Nigeria,2015-01-23,1
2015,24,26.71,29.43,24.96,4.47,0.05826890812397577,88.44,2.59,3.05,100.67,19.28,Nigeria,2015-01-24,1
2015,25,26.71,29.22,24.65,4.57,0.08617769624105233,87.06,2.56,3.39,100.68,18.98,Nigeria,2015-01-25,1
2015,26,26.8,29.44,24.97,4.47,0.12221763272424921,87.54,2.31,2.62,100.79,19.17,Nigeria,2015-01-26,1
2015,27,26.69,29.28,24.9,4.38,0.10436001532424277,87.86,2.5,2.91,100.76,19.12,Nigeria,2015-01-27,1
2015,28,27.14,30.12,25.03,5.09,0.09531017980432487,86.54,2.72,3.31,100.72,19.3,Nigeria,2015-01-28,1
2015,29,26.96,29.34,25.28,4.06,0.12221763272424921,87.37,2.46,2.89,100.74,19.34,Nigeria,2015-01-29,1
2015,30,27.0,29.81,24.93,4.88,0.22314355131420976,86.24,2.2,2.5,100.82,19.08,Nigeria,2015-01-30,1
2015,31,26.84,29.17,25.09,4.08,0.1988508587451652,88.09,2.26,2.89,100.86,19.35,Nigeria,2015-01-31,1
2015,32,26.92,28.86,25.55,3.31,0.12221763272424921,88.77,2.0,2.58,100.74,19.65,Nigeria,2015-02-01,2
2015,33,27.59,30.5,25.57,4.93,0.16551443847757338,86.78,2.4,3.15,100.67,19.91,Nigeria,2015-02-02,2
2015,34,27.41,30.07,25.41,4.66,0.19062035960864973,86.68,2.82,3.39,100.71,19.69,Nigeria,2015-02-03,2
2015,35,27.48,30.04,25.5,4.54,0.1988508587451652,86.06,2.5,2.84,100.72,19.63,Nigeria,2015-02-04,2
2015,36,27.55,30.05,25.65,4.4,0.0295588022415444,86.19,2.87,3.74,100.68,19.76,Nigeria,2015-02-05,2
2015,37,27.44,29.47,25.96,3.51,0.039220713153281295,86.92,2.58,3.06,100.67,19.83,Nigeria,2015-02-06,2
2015,38,27.32,29.32,25.76,3.56,0.048790164169432,87.44,2.54,3.03,100.69,19.8,Nigeria,2015-02-07,2
2015,39,27.69,30.5,25.72,4.78,0.0295588022415444,85.26,3.17,4.25,100.68,19.69,Nigeria,2015-02-08,2
2015,40,27.57,29.86,25.91,3.95,0.0295588022415444,85.06,2.82,4.07,100.65,19.53,Nigeria,2015-02-09,2
2015,41,27.23,28.75,26.16,2.59,1.536867219599265,87.14,2.31,2.98,100.71,19.66,Nigeria,2015-02-10,2
2015,42,27.33,29.76,25.59,4.17,1.5686159179138452,86.76,2.36,2.79,100.7,19.64,Nigeria,2015-02-11,2
2015,43,26.84,28.69,25.61,3.08,2.3646204839134985,87.01,2.86,3.68,100.84,19.15,Nigeria,2015-02-12,2
2015,44,27.03,28.92,25.59,3.33,1.597365331199831,86.79,3.25,3.6,100.92,19.3,Nigeria,2015-02-13,2
2015,45,26.93,28.45,25.85,2.6,1.332366019094335,89.22,2.8,3.4,100.9,19.75,Nigeria,2015-02-14,2
2015,46,27.27,29.52,25.63,3.89,0.712949807856125,85.46,2.68,3.28,100.84,19.27,Nigeria,2015-02-15,2
2015,47,27.05,29.14,25.49,3.65,0.6729444732424258,86.22,2.52,2.87,100.79,19.21,Nigeria,2015-02-16,2
2015,48,27.07,28.96,25.48,3.48,1.3532545070416904,88.54,2.64,2.92,100.67,19.8,Nigeria,2015-02-17,2
2015,49,26.56,28.39,25.06,3.33,1.7950872593207297,90.06,3.13,3.82,100.66,19.57,Nigeria,2015-02-18,2
2015,50,26.79,29.12,25.09,4.03,0.4510756193602166,80.38,1.92,3.06,100.66,17.65,Nigeria,2015-02-19,2
2015,51,27.21,30.06,24.85,5.21,0.1397619423751587,82.3,2.5,3.09,100.56,18.49,Nigeria,2015-02-20,2
2015,52,27.34,30.11,25.04,5.07,0.2151113796169455,83.65,2.77,3.2,100.59,18.93,Nigeria,2015-02-21,2
2015,53,27.12,28.87,25.68,3.19,0.7466879474879752,85.32,2.57,4.02,100.71,19.11,Nigeria,2015-02-22,2
2015,54,27.04,28.82,25.76,3.06,0.6523251860396903,87.85,2.04,2.37,100.76,19.58,Nigeria,2015-02-23,2
2015,55,27.31,30.0,25.46,4.54,0.15700374880966478,83.43,1.86,2.5,100.72,18.78,Nigeria,2015-02-24,2
2015,56,27.56,30.56,25.62,4.94,0.0,83.75,2.13,2.89,100.59,19.18,Nigeria,2015-02-25,2
2015,57,27.28,29.32,25.7,3.62,0.0,86.18,2.68,3.57,100.58,19.5,Nigeria,2015-02-26,2
2015,58,27.03,28.97,25.53,3.44,0.0,85.31,1.75,2.34,100.71,18.97,Nigeria,2015-02-27,2
2015,59,27.12,29.68,24.98,4.7,0.0,84.02,1.73,2.19,100.75,18.74,Nigeria,2015-02-28,2
2015,60,27.5,30.27,25.54,4.73,0.0,82.19,1.94,2.36,100.69,18.75,Nigeria,2015-03-01,3
2015,61,27.86,31.12,25.61,5.51,0.23901690047049992,81.13,1.7,2.74,100.65,18.84,Nigeria,2015-03-02,3
2015,62,27.51,29.9,25.67,4.23,0.4054651081081644,85.63,2.48,3.15,100.7,19.57,Nigeria,2015-03-03,3
